iter	Passed	Remaining
251	1113	3304
252	1116	3295
253	1119	3288
254	1123	3282
255	1126	3274
256	1130	3267
257	1134	3262
258	1138	3255
259	1141	3248
260	1144	3241
261	1150	3239
262	1155	3236
263	1159	3232
264	1164	3228
265	1166	3218
266	1169	3211
267	1172	3203
268	1176	3197
269	1180	3190
270	1182	3180
271	1185	3172
272	1186	3160
273	1189	3152
274	1192	3144
275	1195	3137
276	1199	3131
277	1203	3124
278	1206	3117
279	1207	3106
280	1212	3101
281	1215	3094
282	1218	3086
283	1220	3077
284	1223	3070
285	1226	3061
286	1230	3055
287	1232	3047
288	1235	3038
289	1238	3033
290	1240	3022
291	1241	3011
292	1244	3003
293	1248	2999
294	1251	2990
295	1254	2983
296	1257	2977
297	1261	2971
298	1265	2966
299	1267	2957
300	1270	2951
301	1273	2943
302	1276	2936
303	1280	2930
304	1282	2922
305	1285	2914
306	1287	2906
307	1292	2904
308	1296	2899
309	1300	2895
310	1303	2887
311	1305	2879
312	1307	2870
313	1310	2863
314	1314	2857
315	1317	2852
316	1321	2846
317	1324	2841
318	1326	2832
319	1329	2825
320	1332	2818
321	1334	2810
322	1337	2802
323	1340	2797
324	1344	2791
325	1347	2786
326	1350	2780
327	1354	2774
328	1357	2768
329	1360	2762
330	1363	2755
331	1366	2749
332	1371	2746
333	1374	2740
334	1378	2736
335	1380	2728
336	1383	2721
337	1386	2715
338	1389	2709
339	1393	2705
340	1395	2697
341	1398	2690
342	1401	2684
343	1405	2679
344	1407	2672
345	1410	2665
346	1413	2660
347	1416	2653
348	1418	2646
349	1422	2642
350	1426	2636
351	1429	2631
352	1433	2626
353	1435	2619
354	1438	2614
355	1441	2607
356	1444	2601
357	1447	2595
358	1449	2588
359	1452	2581
360	1454	2574
361	1456	2566
362	1458	2559
363	1460	2551
364	1463	2545
365	1465	2539
366	1467	2531
367	1469	2523
368	1472	2517
369	1475	2512
370	1478	2507
371	1480	2499
372	1482	2491
373	1484	2484
374	1488	2480
375	1491	2475
376	1493	2468
377	1496	2462
378	1498	2455
379	1501	2449
380	1504	2444
381	1507	2438
382	1510	2434
383	1513	2427
384	1515	2421
385	1518	2415
386	1522	2411
387	1525	2406
388	1528	2400
389	1530	2394
390	1535	2391
391	1537	2385
392	1540	2379
393	1543	2374
394	1546	2368
395	1549	2363
396	1552	2357
397	1556	2354
398	1558	2347
399	1561	2342
400	1564	2336
401	1567	2331
402	1570	2326
403	1573	2321
404	1575	2314
405	1577	2308
406	1580	2302
407	1582	2296
408	1585	2290
409	1588	2286
410	1592	2281
411	1595	2276
412	1597	2270
413	1601	2266
414	1604	2261
415	1606	2254
416	1610	2251
417	1612	2244
418	1614	2239
419	1616	2232
420	1620	2228
421	1622	2222
422	1625	2217
423	1627	2210
424	1629	2204
425	1631	2198
426	1633	2192
427	1636	2186
428	1638	2180
429	1640	2174
430	1642	2168
431	1644	2162
432	1647	2157
433	1650	2153
434	1653	2147
435	1655	2141
436	1656	2134
437	1660	2130
438	1663	2126
439	1666	2121
440	1668	2115
441	1670	2108
442	1673	2103
443	1676	2098
444	1678	2093
445	1681	2088
446	1682	2082
447	1684	2076
448	1688	2072
449	1690	2066
450	1693	2061
451	1695	2055
452	1697	2049
453	1699	2043
454	1702	2039
455	1705	2034
456	1708	2029
457	1710	2024
458	1712	2018
459	1714	2012
460	1717	2007
461	1719	2002
462	1722	1997
463	1725	1993
464	1728	1988
465	1731	1983
466	1733	1978
467	1737	1974
468	1739	1969
469	1742	1965
470	1745	1960
471	1748	1956
472	1751	1951
473	1755	1947
474	1757	1943
475	1759	1937
476	1762	1932
477	1764	1927
478	1768	1923
479	1771	1919
480	1775	1915
481	1779	1912
482	1781	1907
483	1786	1904
484	1790	1901
485	1792	1895
486	1794	1890
487	1795	1884
488	1798	1879
489	1802	1876
490	1806	1872
491	1809	1868
492	1811	1863
493	1814	1858
494	1818	1854
495	1820	1849
496	1825	1847
497	1827	1842
498	1831	1838
499	1834	1834
500	1838	1831
501	1841	1827
502	1845	1823
503	1848	1819
504	1852	1816
505	1855	1811
506	1859	1807
507	1862	1803
508	1865	1799
509	1868	1795
510	1871	1790
511	1873	1785
512	1876	1781
513	1878	1776
514	1881	1772
515	1884	1767
516	1887	1763
517	1890	1759
518	1894	1755
519	1897	1751
520	1900	1747
521	1903	1742
522	1906	1738
523	1909	1734
524	1912	1730
525	1915	1725
526	1918	1721
527	1922	1718
528	1925	1714
529	1929	1711
530	1932	1706
531	1935	1702
532	1938	1698
533	1941	1693
534	1943	1689
535	1945	1684
536	1948	1679
537	1951	1675
538	1953	1671
539	1956	1667
540	1959	1662
541	1963	1659
542	1965	1654
543	1968	1650
544	1970	1645
545	1973	1640
546	1975	1636
547	1977	1631
548	1980	1626
549	1983	1623
550	1987	1619
551	1991	1616
552	1994	1612
553	1997	1607
554	1999	1603
555	2003	1599
556	2005	1595
557	2007	1590
558	2011	1586
559	2015	1583
560	2017	1578
561	2019	1573
562	2021	1569
563	2024	1565
564	2026	1560
565	2029	1556
566	2033	1552
567	2035	1548
568	2039	1544
569	2041	1540
570	2043	1535
571	2046	1531
572	2048	1526
573	2052	1523
574	2054	1518
575	2057	1514
576	2060	1510
577	2063	1506
578	2066	1502
579	2069	1498
580	2071	1493
581	2074	1489
582	2076	1485
583	2079	1481
584	2082	1477
585	2084	1472
586	2086	1468
587	2089	1463
588	2091	1459
589	2093	1454
590	2096	1450
591	2098	1446
592	2100	1441
593	2102	1437
594	2105	1433
595	2107	1428
596	2109	1424
597	2112	1419
598	2115	1416
599	2119	1412
600	2122	1408
601	2123	1404
602	2126	1399
603	2128	1395
604	2132	1392
605	2135	1388
606	2139	1385
607	2143	1381
608	2147	1378
609	2150	1374
610	2153	1370
611	2156	1367
612	2159	1363
613	2163	1359
614	2166	1356
615	2167	1351
616	2170	1347
617	2172	1343
618	2175	1338
619	2180	1336
620	2184	1332
621	2185	1328
622	2188	1324
623	2190	1319
624	2193	1316
625	2197	1312
626	2200	1308
627	2202	1304
628	2204	1300
629	2206	1295
630	2208	1291
631	2211	1287
632	2213	1283
633	2216	1279
634	2220	1276
635	2222	1271
636	2225	1268
637	2228	1264
638	2230	1260
639	2234	1256
640	2236	1252
641	2239	1248
642	2241	1244
643	2242	1239
644	2244	1235
645	2247	1231
646	2251	1228
647	2263	1229
648	2271	1228
649	2281	1228
650	2286	1225
651	2292	1223
652	2296	1220
653	2301	1217
654	2304	1213
655	2306	1209
656	2309	1205
657	2314	1203
658	2318	1199
659	2321	1196
660	2325	1192
661	2328	1189
662	2331	1184
663	2333	1180
664	2335	1176
665	2337	1172
666	2340	1168
667	2342	1164
668	2344	1160
669	2347	1156
670	2350	1152
671	2356	1150
672	2358	1146
673	2361	1142
674	2364	1138
675	2367	1134
676	2370	1130
677	2371	1126
678	2374	1122
679	2377	1118
680	2379	1114
681	2383	1111
682	2387	1108
683	2390	1104
684	2393	1100
685	2395	1096
686	2399	1093
687	2403	1089
688	2406	1086
689	2410	1082
690	2416	1080
691	2420	1077
692	2423	1073
693	2426	1069
694	2429	1066
695	2431	1062
696	2434	1058
697	2436	1054
698	2439	1050
699	2443	1047
700	2445	1043
701	2449	1039
702	2452	1036
703	2456	1032
704	2458	1028
705	2461	1025
706	2465	1021
707	2469	1018
708	2473	1015
709	2477	1012
710	2480	1008
711	2484	1005
712	2487	1001
713	2491	998
714	2494	994
715	2497	990
716	2500	987
717	2503	983
718	2505	979
719	2509	975
720	2511	971
721	2513	967
722	2517	964
723	2520	961
724	2523	957
725	2526	953
726	2529	949
727	2531	945
728	2534	942
729	2537	938
730	2540	935
731	2544	931
732	2547	928
733	2550	924
734	2553	920
735	2557	917
736	2560	913
737	2563	910
738	2567	906
739	2570	903
740	2573	899
741	2576	895
742	2578	892
743	2582	888
744	2585	884
745	2588	881
746	2591	877
747	2594	873
748	2596	870
749	2599	866
750	2603	863
751	2606	859
752	2608	855
753	2610	851
754	2613	848
755	2616	844
756	2619	840
757	2621	836
758	2625	833
759	2628	830
760	2631	826
761	2633	822
762	2636	819
763	2639	815
764	2642	811
765	2644	807
766	2649	804
767	2651	800
768	2653	797
769	2655	793
770	2657	789
771	2659	785
772	2663	782
773	2666	778
774	2671	775
775	2674	772
776	2678	768
777	2681	765
778	2685	761
779	2688	758
780	2691	754
781	2694	751
782	2696	747
783	2700	743
784	2702	740
785	2705	736
786	2709	733
787	2712	729
788	2715	726
789	2719	723
790	2722	719
791	2724	715
792	2728	712
793	2731	708
794	2734	705
795	2737	701
796	2742	698
797	2747	695
798	2750	691
799	2753	688
800	2758	685
801	2763	682
802	2769	679
803	2774	676
804	2778	672
805	2780	669
806	2784	665
807	2786	662
808	2788	658
809	2791	654
810	2793	651
811	2796	647
812	2799	643
813	2802	640
814	2805	636
815	2807	633
816	2810	629
817	2814	626
818	2816	622
819	2819	618
820	2821	615
821	2825	611
822	2828	608
823	2831	604
824	2834	601
825	2836	597
826	2840	594
827	2843	590
828	2846	587
829	2849	583
830	2852	580
831	2855	576
832	2860	573
833	2863	569
834	2866	566
835	2868	562
836	2871	559
837	2873	555
838	2875	551
839	2878	548
840	2880	544
841	2884	541
842	2888	537
843	2892	534
844	2895	531
845	2898	527
846	2902	524
847	2906	520
848	2908	517
849	2912	513
850	2916	510
851	2920	507
852	2923	503
853	2925	500
854	2928	496
855	2931	493
856	2934	489
857	2936	486
858	2939	482
859	2943	479
860	2946	475
861	2958	473
862	2962	470
863	2964	466
864	2968	463
865	2973	460
866	2978	456
867	2982	453
868	2987	450
869	2991	446
870	2995	443
871	2998	440
872	3002	436
873	3007	433
874	3010	430
875	3015	426
876	3019	423
877	3024	420
878	3027	416
879	3031	413
880	3035	410
881	3039	406
882	3044	403
883	3048	400
884	3050	396
885	3054	393
886	3058	389
887	3060	386
888	3063	382
889	3068	379
890	3071	375
891	3076	372
892	3080	369
893	3084	365
894	3086	362
895	3089	358
896	3094	355
897	3097	351
898	3099	348
899	3101	344
900	3105	341
901	3109	337
902	3112	334
903	3116	330
904	3118	327
905	3122	323
906	3124	320
907	3128	317
908	3133	313
909	3136	310
910	3139	306
911	3143	303
912	3148	299
913	3152	296
914	3156	293
915	3158	289
916	3162	286
917	3166	282
918	3170	279
919	3174	276
920	3177	272
921	3181	269
922	3185	265
923	3188	262
924	3190	258
925	3193	255
926	3196	251
927	3198	248
928	3200	244
929	3203	241
930	3207	237
931	3212	234
932	3216	231
933	3222	227
934	3227	224
935	3232	221
936	3236	217
937	3238	214
938	3244	210
939	3248	207
940	3254	204
941	3258	200
942	3262	197
943	3266	193
944	3269	190
945	3274	186
946	3277	183
947	3279	179
948	3283	176
949	3286	172
950	3291	169
951	3293	166
952	3299	162
953	3303	159
954	3308	155
955	3313	152
956	3317	149
957	3321	145
958	3325	142
959	3328	138
960	3332	135
961	3336	131
962	3339	128
963	3343	124
964	3346	121
965	3349	117
966	3352	114
967	3356	110
968	3360	107
969	3363	104
970	3367	100
971	3370	97
972	3373	93
973	3376	90
974	3380	86
975	3384	83
976	3387	79
977	3390	76
978	3394	72
979	3398	69
980	3402	65
981	3405	62
982	3408	58
983	3412	55
984	3416	52
985	3418	48
986	3422	45
987	3427	41
988	3431	38
989	3436	34
990	3440	31
991	3444	27
992	3446	24
993	3449	20
994	3452	17
995	3455	13
996	3458	10
997	3461	6
998	3465	3
999	3469	0
